comments,label
기린형은 어떻게하고 정소민 진짜 성격 이상하네 선긋던가,offensive
여러저러 핑계로 곧 결별에 한표,offensive
사기꾼들,offensive
데이트할때 밥값 커피값 티켓 다 정소민이 내냐?,offensive
이준도 역시 동물의왕국이엇네...,offensive
군인이 차를 몰수 있나요?,offensive
군인이 운전하면 안되지 않나...,offensive
남녀주인공들 실제 배꼽못맞추게 법안 만들어라 이건 뭐 죄다 그러니ㅉㅉ,hate
이준씨 연느는 어쩌구요,none
이건 더 노잼에 약해ㅠㅠ간보지 말고 그냥 깔끔하게 기사내고 끝내라!!!,offensive
동물의 왕국이네 이년아,hate
ㅅㅅ했겠네가 삭제될일이냐 좌이버야 초성만 써도 삭제되네? ㅅㅅ가 뭔줄알고? 지혼자상상하고 삭제하는거야? 상상했겠네 세수했겠네인데? ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,hate
문재인씨가 열애설로뭘덮으라고 시키든?,hate
정소민이좀아깝지,offensive
응..~관심없어,offensive
사진들이 약하긴함,none
군인이 휴가 중에 운전을 해도 되나?,offensive
일반사병이 휴가때운전이가능했엇나....?기억이가물가물..,offensive
헐 탈덕해야지 페북인스타 언팔합니다 ㅠ,none
정소민은 누구고 이준은 또 누구임? 나만 모르냐?,offensive
도둑놈이라 옷이 와절노 ㅋㅋ,offensive
전소민인줄..정소민은 누구냐? 관심없고 빨리 지대갈x주연 인정 좀,offensive
댓글 성비 계집 압도적인거 보소 ㅉㅉ 남 사생활이나 보고 키드득 ㅉㅉ,hate
비처럼 휴가 너무 많이 나오면 안됨,offensive
군인이 운전 가능한가요?,offensive
끄져,hate
안가려도 되는데 오바는,offensive
댓글들머지?돈주고 사람쓴거같은데 ㅋㅋ 전다지 잘어울린다네 ;;;ㅋㅋ,offensive
왠지 설정 같다. 계획하고 날짜되면 터트리는... 컨셉하고는,offensive
정부가 대체 뭘 숨기려고!!,hate
정소민이 이준보다 겨우 한살 아래인데 이준이 너무 손해보는것 같다. 이준같은 연예인이라면 여러 여자들 만나면서 대충 연애하다가 나중에 4none넘으면 offensive4~offensive8살정도 어린 여자와 결혼하는게 정석이다,hate
그냥 오연서랑 사귀지,offensive
이준씨 별로 인지도없는데 그냥 얼굴까고다니셔도되요 ㅋ 길거리서 아는사람 거의없을껄?ㅋㅋ누가보면 지주제에 톱스타인줄,hate
여자라는건 그냥 단지 한두번 욕정의 물을 비우기 위한 도구에 지나지 않는데 왜 자꾸들 연애를 할까..? 연애를 해주지 않으면 눕힐수 없으니까? 아님 이 여자만에게 평생 뿌려주고 싶어서? 다 부질없는 순간적 감정이다.. 지금은 이 여자 아니면 죽을것 같아도 결국 말그래도 '지금' 뿐이다. 그리고 그 순간을 넘기면 어느덧 눈가에 주름이 늘어가는 늙어가는 퇴물의 모습만이 눈앞에 서서 나를 갉아먹으려 하는 퇴물만 남겠지.,hate
노출들을못해서 안달인가? 평범한원피스인데 한쪽어깨는 대체 왜내리는거야? 억지로내린티나나네,hate
응헤어져,offensive
곧 헤어진다 .,offensive
솔직히 되게 안어울리는 커플이다 오래못갈듯,offensive
정소민바보...남자깔렷는데 군바리랑만나냐..,offensive
너도 동물의 왕국 입성이냐,hate
응 지디 미만잡ㅋㅋ 왠 듣보잡들이여,offensive
니 꿈만을 위해 남은 멤버들에게 상처만 가득 입힌 너라서 정말 티비에서 볼때마다 힘들었어. 엠블랙은 결국 너보단 성공하지 못한 그룹이니까 사람들은 지금 배우로 성공한 니 모습만 보겠지. 그래서 참 원망스러웠어. 그래도 예전에 좋아했던 너라서 새해에 이렇게 사생활이 공개된건 참 안타깝다. 좋은 사람과 예쁜 연애 하길 바래,offensive
뭐가 아쉬워서 이준같은 애를.......,offensive
이준이 잘생긴거임?? 이특 닮았는데,none
이민기랑 전소민 너무 잘어울렸었는데..아숩다..그래도 이뿌게 사귀길~,none
헐 ㅋㅋ 광수랑 러브라인 재밌었는데 이제 못보겠네,none
약하다!! 다른 커플있으면 더 올려줘요!!!,offensive
이준은 오연서껀데....,offensive
오래 못갈 것 같은데 곰신 ㅜㅠ 소민씨 화이팅!!,none
휴가나와서 겁나 했겠네 ㅠ 이준 부럽다,hate
했을까? 했겠지?,hate
이민기랑 사귈줄 알았는대..ㅎ,none
이준이 너무 많이 아까운거같은데..,offensive
결국 이준도 동물의 왕국 동물중 하나였구만,offensive
잘못하면 찌찌 나올라!!옷이 흘러내리네,hate
정소민은 강기탄과 어울렷는데,none
직장동료끼리 연애 좀 하지마라,offensive
이준별로다짠돌이정소민 피곤하것네,offensive
축하하지만 곧헤어짐 offensivenonenone%,none
정소민이 아깝다ㅋㅋㅋㅋ 왜 이준이랑 사귀지?ㅋㅋㅋ,offensive
아니 재앙이는 도대체 뭘 덮을려고 이렇게 연속으로 열애설을 팡팡 터뜨리냐,hate
소민아 그코 니코니코니?,offensive
폭풍......발쏴.....,offensive
연예기사 댓글봐라 여자가 압도적 ㅋㅋ정치 경제는 아몰랑~~,hate
했네 했어~~~~~,hate
이준이 아깝다 ㅎ,offensive
계속터지네 문죄인 똥줄탓나보네 종석이 살리려고 연예계 계속 이용하네,hate
뭐여 동물의 왕국이라고 깔땐 언제고 결국 이준 너도 똑같은 헬조선 연예인이었잖아? ㅋㅋㅋ,hate
전소민이 누군데,offensive
ㅇㅂ하네 곧 깨질거면서,offensive
가수.아이돌 들이 드라마 하니까 진짜배우들은 기회를 놓친다 연기도 뭐같이 하면서,offensive
정부는 무엇을 묻을려고 지금 터트리는걸까?,hate
이딴거 말고정치에 관심을 가져라아랍에미리트 의혹이나 올리지 ㅉㅉ,hate
전소민인줄,none
정소민..눈이 낮네.ㅡ.ㄷ,offensive
정소민이 누구에요?? ㅡㅡ:,offensive
한녀들아 돈만 진짜 많으면 키 offensive67 9none키로 대머리에 배불뚝 남자도 섹시하지 않냐?ㅋㅋㅋ,hate
남친 여친은 깨지라고 있는거임,offensive
이준아걍놔줘라군인주제에 소민이좀그만놔줘라 다른남자에게보내도록붙잡지마라,offensive
백일휴가라 그동안 참았던걸 폭풍ㅇㅇ하겠구만,offensive
정소민은 언뜻보면 장미란 같지 않냐,offensive
휴가때 많은시간을 할애했다는데 ㅋㅋ,offensive
둘이 사귀든 말든... 나한테 밥이 떨어지냐? 돈이 떨어지냐?,offensive
야준니뮤ㅠ...동물의 왕국 갑....,hate
오연서보고싶다,none
이민기씨랑 더 잘어울리는데,offensive
offensivenonenone일이이면 4박동안 겁나 했겠다,hate
급낮다,offensive
맨날 재앙터지니까 덮을려고 퍼뜨렸네,hate
친중정부에서 무엇을 감추려고...,hate
런닝맨도 하고 바쁘네 ㅎㅎ,offensive
정부는 뭘 또 숨기려고 열애설을 두 건이나 터뜨리냐...,hate
정소민 아깝다,offensive
둥물의 왕국,hate
동물의왕국,hate
전파무기피해자가 우습지? 억울한 사람 더 억울하게 만들지 마라. 니네 인생도 골로 갈거다.,offensive
일말 상초,none
이번 생은 처음이라 재밌었는데 ㅋ,none
군대전 사귀면 전역후 offensivenonenone% 깨진다. 전역하면 이제 필요없거든ㅋㅎ,offensive
머지 이건또,none
미친ㅋㅋㅋㅋㅋㅋㅋ,hate
결혼 기사 아니면 곧 헤어짐,offensive
몰래 뒤로 사겻엇구만..,offensive
어차피 헤어짐 ㅋㅋㅋㅋ,offensive
이준이 아깝다,offensive
했네 했군..,hate
"hatenone대 페미니스트는 국정원이 쓰다 버릴 소모품이다. 지금은 달콤하겠지, 버려지고 후회하고. 불나방 페미니스트",hate
순간 런닝맨에 전소민인줄.....,none
줌마들 밥은하고 댓글 다나요ㅋㅋㅋㅋㅋㅋ,offensive
디패아니면 못믿지.,offensive
이준 여자 좋아했었냐,offensive
친구 아닐까,none
오연서,none
런닝맨 전소민인 줄.. ㄴ.ㅇ 졸라ㅋㅋㅋ,offensive
?,none
"페미니스트년들아 그리고 조직스토커놈들아.. 여기까지만 하자. 내가 국정원이란 새끼들 잡아야해서 참고있는데, 한계가 보인다.",hate
"hatenone대 페미니스트, 국정원, 조직스토커 개66새6끼들아!!!!!!!!!!!!!!!!! ㅗ",hate
이준은 진짜뭐하나 터져야해.. 디패는 창선이를 포기한연옌이라하던데..왜 이번건 못잡았을까?,offensive
마니빨렷겟네,hate
정소민 오늘부로 안뇽이다~ 전소민으로 갈아탄ㅋ다,offensive
"윤지호, 이제 좀 일 좀 제대로 해야 할 시기에 제일 안좋은 사내 연애를..",offensive
아이돌 쪽 동물의 왕국 이다 소리 쳣던 그분이 몸소 실천하심,offensive
"이준,아깝다.아까워",offensive
힝ㅠ왜하필... 그래도예쁘게만나시길~,offensive
드라마를 찍으랬더니 연애만 하고 있네,offensive
이러다 신혜선하고 박시후 결혼얘기 나오는거 아님?,none
정소민 아까웡 ㅜ,offensive
정소민..아까뷔,offensive
정소민이 너무 아깝당,offensive
이준이 아깝다..,offensive
"친일행각 조혜련, 이명박의 여자 이태임, 누나가 조선일보 기자이고 매형이 이명박 정권 언론 보좌관이었던 김성주 등은 이상없이 활동함. 이하늘이나 여타 진보성향의 연예인들은 베충이들이 표적 삼아서 그 흠집을 과대포장하여 인간 쓰레기로 매도하는 여론몰이를 하고 다님.",hate
이하늘 인성 떠드는놈들중에 이하늘에 대해 제대로 아는 새끼가 몇이나될까 어디서 주어들은 소리갔고 악플이나 다는 새끼들 남욕하기전에 본인이나 챙기시길,hate
꿀잼일듯.천방지축 하늘이 형 기대할게요!,none
별로 안울리는지만 기회는 줘야지욤... 오히려 캐리할수도,none
디오씨 앨범 나온다~~~~~좋아요 꼭 구매할코예요^^,none
하늘오빠 멋있어요 콘서트가서 반하고 왔음 ㅎㅎ,none
이하늘 싫으시면 강원래 좋아하시나봐요.,offensive
이하늘 뭐 별로 문제 있다고 생각되지 않는데 ㅋ,none
이하늘 예전에 조금 악동분위기였지지금은 좋아보임 갠적인 의견입니다!,none
니들 인성이나 신경써라 여기서 욕하는 우리도 마찬가지아니여?그냥 쳐보기나해 보기싫으면 안보면 그만,offensive
"이명박 정권 들어서자 ""쥐는 살찌고 사람은 굶는다"" 라고 적힌 티셔츠 입고 방송 출연한 것 진심 멋졌음. 그 뒤로 블랙리스트로 찍혀서 고생했었지. 과오도 많지만 조용히 응원한다.",hate
보지도 않고 벌써부터 판단들 하시네.,none
저도 불타는청춘 프로그램을 자주보는데 이하늘씨가 합류하신다니 정말 기대되네요!! 이하늘 씨 하루빨리 보고싶네요ㅎㅎ,none
이하늘 짱조음..흥하세요~~,none
불금쇼에 나왔을때랑 ebs 성난 물고기에 출연한거 보면 분위기 흐리고 이런거 없이 오히려 잘 녹아들거 같던데...기존 이미지때문에 그런 생각하는거 같은데 최근 모습 보면 사람 괜찮다..,none
드디어 보상받는구나,none
와 굿,none
Doc는 진정한 뮤지션..이하늘은 진정한 리더..응원합니다.,none
이하늘이 잘못한 것도 많지만 이명박 아들과 마약파티 의혹이 있는 이태임 같은 년에 비하면 양반이지. 문제는 이하늘이 진보성향이다 보니 이명박 정권 때 블랙리스트에도 오르고 일베충들이 지속적인 공격을 가하면서 많은 네티즌들이 동화되는 움직임을 보이는 것이고.,offensive
"하늘이형 오랜만에 예능복귀ㅠㅠ대환영!! 형님,동서울터미널에서 제가 알아보고 먼저팬이라고 인사드렸는데 바쁘셔서 소극하게 인사받아주시고...그게 미안했던지 다시 저한테 찾아와서 고마워요~ 고향잘다녀오세요!!하고 인사해주셔서 감동이었습니다^^ 거칠어보이지만 인정많은 형님!!",none
점점 나이가 어려지는듯..,none
나이를 먹었으니..그만큼 잘하겠지~,none
옛날에는 잘나갔지 디오씨 제법놀줄아는 날나리 하늘이~~알만한사람은 다알지 잘나가던 그때가 좋았지~~,offensive
재밋겟다ㅡㅋㅋ,none
재미있을듯~~기대되요.,none
"난 기대되고 재밌을거같아서 클릭했는데, 왜이럼?",none
불청안보고있는데 디오씨 광팬이라 봐야겠다ㅋㅋ,none
발정난 이혼남녀 노총가노처녀 짝짓기프로그램...이거 사랑의 스튜디오된지오래아닌가???,hate
자기성격대로 각자사는거지 죄만안지으면 되는거 아닌가. 이하늘 멋있다 솔까 완전 멋짐 짱. 콘서트에서 한물간 가수의 삶이란 이건가하셨다지만 아주오래동안 반짝였다는 사실을 잊지않으셨으면! 꼭 행복하시길 ㅎ,none
방송중에 주먹질 할 듯.,offensive
잼있겠다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,none
이하늘 잼잇겟다 나 이분 좀은웃김ㅋ뽯팅이하늘~~~~♡,none
근데 이하늘이 들어오면 분명 재밌어짐..합류대환영,none
하늘이형ㅋㅋㅋㅋㅋ형이 왜 거기서 나와? ㅋㅋ,none
불.청이 아니라 미우새아닌가?,none
이하는 하면 생각나는붙이지 못한 편지,none
불타는청춘 출연을 추카 합니다.,none
"이명박 정권 들어서자 ""쥐는 살찌고 사람은 굶는다""라고 적힌 티셔츠 입고 방송 출연했던 것 기억나네. 그 뒤로 이명박 정권 블랙리스트에 올라있었지. 지난번 촛불집회 때도 음악 만들어서 촛불 응원했고. 베충이들에게는 눈엣가시 같은 존재. 그래서 나는 이하늘이 좋다. 응원한다.",hate
기대 말만 조심하면화이팅,none
이하늘이 과하게 악플러시를 당하는 이유는 일베성향의 네티즌들이 잘못했던 일을 지속적으로 강조하고 되새기면서 안좋은 여론을 유도하기 때문임.,offensive
이서진 합류하자 ㅋㅋㅋㅋ,none
이하늘 전성기때 인기 캡이였는데.. ㅜㅜ랩퍼 스카이 그립다,none
음~~ 좀 다시 검토 부탁해요. 하늘이형 팬이지만 그래두 성향이ㅜㅜ,offensive
불청은 망하지 않는다. 이연수씨가 출연하는한 시청률은 보장되니까. 전국의 아재들을 TV앞으로 끌어모으는 이연수씨,offensive
베충이들이 진보 성향의 연예인들 표적 삼아서 악플 주도하는 경우가 너무 많네요. 강호동 같은 놈은 탈세하고도 방송활동 왕성하게 하더구만,hate
송혜교랑 친했던거 실화임?지금도 친한가,none
한국힙합 offensive세대!,none
불청 pd야 기존멤버 물갈이 좀 합시다 치와와 개커플 하차좀 어떻게 합시다 결혼해서 나갈일은 없을듯 김국진 결혼할 맘 아예 없어보여..한사람 이라도 하차좀 시킵시다,offensive
우리나라 힙합 offensive세대다ㅡㅡ 음악적으론 까지말았으면 한다. 디오씨8집도 올해안에 나오길!!,none
offensive8년 그냥 좌파는 다 꼽아주네ㅋ offensive8년,hate
정권이 바뀌니 시덥잖은 좌파연예인 다 밀어주네 ㅋㅋ 내로남불이다 진짜 ㅋㅋ,hate
낚시형제 잘보고 있어요,none
힘내세요 하늘이형 기죽지 말고 형 모습을 보여주세요 진심은 통한다 아자아자 !!!!^^,none
오바야,offensive
왜 뭐 때문에? 분위기만 작살날 것 같은데. ㅎ,hate
불청 여자연에인도 좀 참신하게 좀 바꿀때가^^,offensive
래퍼 스카이,none
하늘이 먹을만큼 먹어봤자네,offensive
셀프 블랙리스트 올랐던 분이 방송을 나오신다. 경배해라.,hate
이하늘은 세대가 좀 다른 느낌,offensive
천하무적토요일(none9년~)때 여친 잇엇잖아...애칭 모과 라고... 헤어졋나?? 헤어졋으니 불청에 나오나...,offensive
하늘이 보단 재용이가 더 적응잘하듯.,none
ㅋㅋㅋ아왜 .. ㅋㅋㅋㅋ,none
줜나 안어울리는데,hate
헛G랄이라고 봄,hate
좀 프로그램 모방해서 만들지말자. 나혼자산다 잘된다고 그걸 따라만드냐 색다른걸 재미 좀 느끼자,offensive
양아치,hate
디오씨는 핸드볼경기장에서 자주하네,none
문재인 충성파들 열라 밀어주네. 이런게 특혜지.,hate
실검 ㅋㅋㅋㅋoffensive위 예약 ㅋㅋㅋㅋㅋㅋ,none
미친거아님~~???,offensive
모자벗음 7none대..,offensive
이하늘씨당신이뭐대단한사람으로착각하나본데그냥한인간이여 남들보단목소리조금더좋다이것뿐이야꿈깨.,hate
모자좀 벗어봥 ~ 대가리 꼴도 창렬스럽지 안남? ㅋㅋㅋ,hate
김완선 하차라길래 안볼려고 결심했는데 잘됬네.,none
딴건 모르겠고 신지한테 한 행동은 그냥 생양XX짓!,hate
"건모형,수홍이형 그리고 이하늘 이 셋이 나이에 안 맞게 제일 철 없어 보이는 연예인 중 하나~",offensive
양준혁이나 좀 섭외해보지~ 박재홍이랑 케미 재밌을거같은데,offensive
출연자 물갈이가 필요한 싯점이지만 그래도 그렇지.,offensive
형형 누나누나 하면서 앵알앵알 거리는거 거리는게 보기싫음,offensive
강태공 이하늘 화이팅 입니다~^^,none
앨범 왜 안내요ㅜㅜ 냈다하면 대박날텐데,none
언제적 이하늘이여,offensive
국진옹이 있어서 괜찮지,none
완전 애청장인데~~~~이하늘 나옴 안볼꺼야,offensive
재밌겠다..기대할게요...사람들 왜 이렇게 머라고 하는지...,none
헐..나오지마..,offensive
비호감!,offensive
섭외가 창렬스럽다,hate
솔직히 5none살 양아가 왜 필요하지,offensive
이사기는 공무원이냐 그만좀 쳐나오라해라,hate
그나마 외모가 꼬꼬마 같아서 봐주는거지..48세에 이하늘이란 이름 전나 오글거리네..이름지을때 offensivenonenone세시대 참고좀하고 지읍시다,hate
이하늘 양ㅇ치의 대표주자 .근데 쥐를 잡자 티셔츠 입고 나오더니 갑자기 개념연예인 등극 ㅋㅋㅋㅋㅋㅋ 좌좀련들은 저런 사람을 빨았다는게 참..,hate
여기는 갈수록 초심이 없어짐강수지에게는 모든 출연자들이 눈치보고 잘보일려고함강수지 김국잔 한번씩 빠졌음 함되도 안해고 불편해서 요즘은 잘 안봄,hate
불타는 깡패,hate
트러블이 필요한가.. 이건아닌듯,offensive
연예계 은퇴하신분인데 말장난하나 offensive8년도답네,hate
그냥 양아치,offensive
불청애청자인데요....안볼래요,offensive
내 마음의 대상은 수지,none
연애게에 게이 커플 많다던데..왜 저러냐?? 좀 의심스럽노~~,offensive
수지가 그거좀하나보다,offensive
엄기준은 카리스마가 없어,offensive
상 못받아서 열받는데. . .자긴 대상탔다고 약올리냐,hate
지성 어이없어,offensive
글쎄~~피고인에서 엄기준 연기는 너무 연기같이해서 별루였는데....,offensive
이종석? 수지? 최우수상? 엄기준 꽝? 이런 적폐 sbs,hate
도대체 상주는 기준이뭐냐 이종석 배수지 상받은걸로보면 시청률?인기?소속사빨?청소년연기상도그래 초인가족이라는 드라마가 있는줄도몰랐네 언니는살아있다 홍시가 훨 잘했는데,hate
솔직히 개인적으로 수지랑 이종석이 최우수상 받는 건 좀 의외였음... 연기력이 나쁘진 않아도 우수상 받은 배우들보다 잘하는 것 같진 않던데...,offensive
서브가무슨대상이냐,offensive
지성이 술마시자고 할때 가는곳이 있는데 어딘지아냐? 지성빠레 ㅋㅋㅋㅋ엌ㅋㅋㅋㅋㅋㅋㅈㄴ웃기넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ연예대상급 인지용~?,hate
이판사판 주인공들 상 못받은 것 이해안간다.연기 정말 잘하는데~,offensive
이종석.수지같은사람말고 엄기준같은사람에 주요부믄으,offensive
수지이종석최우수ᆢ그거하나로 얼마나거지같은시상식인지 인증,hate
이종석이랑 수지 상 주려고 월화/수목 이따구로 나눈거임? 서현진이랑 엄기준이 못받았는데 당잠사 8% 시청률이 받아? 장난치나 ㅋㅋㅋ,offensive
촤민호!!!!!! 근데 이보영 빨간루즈 검은 시스루 너무 색시하더라,hate
상은 정말 잘한사람이 타야됨 수지.이종석이 최우수상 ?? 엄기준이 수지.이종석보다 못했다는건가 이러려면 TV에 왜방송하나 자기내들끼리 자체적으로하고 방송 내보내지마라 짜증난다,offensive
엄기준이 차민호 캐릭터로 얼마나 섬뜩했는데솔직히 이종석보다 잘했다,offensive
다들 수지가 최우수받으니까 당잠사 시청률이 높아서 상준거라고 칭송하는데ㅡㅡ 시청률 사랑의 온도가 더 높았습니다. 알고말하세요. 그리고 인지도? 엄기준이 인지도로 밀릴배우?서현진이. 인지도로 밀릴배우? 어이가없네. 당장사 최~~고시청룰이 offensivenone퍼예요,offensive
다해드실줄알았어.sbs에 진정 대상감이 있드나?,offensive
이종석 수지 빼라~~ 정말 극 혐 이다~ 뭐 했다고,hate
어제 이종석에게 최우상 주는게 말이되냐?,offensive
남궁민한테 너무 뭐라하지마셈.. 남궁민 KBS 대상못받은거 너무 억울해죽겠는데... ㅡㅡ 나도 솔직히 엄기준 최고의 캐릭터상밖에 못받은게 참 어이가 없지만 올해 케사에서 김과장으로 남궁민이 대상못받은게 제일 어이가 없다..,offensive
내배우 상 못받았다고 아무 상관없는 배우들 잡지 맙시다. 엄기준씨 비호감 될려고 함.,offensive
솔직히 부문이 다르다고 해서 수지가 이영애를 제치고 받을 만했나 자리에 없었던 남궁민도 받았는데 이영애가 못받을 건 뭐야,offensive
새해부터 악플 남기는 불쌍한 인생들..,offensive
지성이 탈 줄 알았어 ~^^,offensive
엄기준이 대상정도는 아닌데 예전에 악역 캐릭터랑 너무 똑같아서 식상했음 물론 연기는잘하지만 그렇다고 최우수상받기도 남궁민 이종석도있고 이래저래 애매해서 못받은거같은데,offensive
옆동네 kbs 보고 본받으셈. Kbs 연기력으로 주잖음. Kbs가 너 연기력은 별로인데 인기많으니까. 너 우수상 최우수상 대상하셈. 하디? kbs에서 우수상 최우수상 대상 받은 사람들 보면 납득감. 왜냐. 전부다 연기잘하는 연기자들이기 때문에. Sbs는 정말 반성해라.,offensive
진정하세요 수지가 최우수면 스브스는 시방새~ ㅋㅋㅋㅋㅋ대상줘라 대상 ~시방새야,hate
어디서 거지 같은 게 나타나서는 상을 받다니 어이가 없다,hate
수지 최우수 주면서 서현진님은 하나도 주지않았는데엄기준님은 말해 무엇하리,offensive
내년부터는 요일로 나누지말고 줄만한배우들주자 인기상말고수지도 웬만큼 했으니 까지말고요 다만 엄기준 서현진보다 위급상을 받았다는게 문제지,offensive
엄기준 진짜 연기 너무잘하셨는데 달랑 캐릭터상이 뭐냐구... sbs너무하다 무슨 상이 인지도냐 인기상도 아니고 진짜 인기도 중요하지만 연기로 평가해야하는거 아닌가 ㅜㅜ 진짜 엄기준 너무 연기잘해주셔서 드라마볼때마다 빠져들었는데 최우수상급 대상급인데 sbs너무해 수지나 이종석이 최우상급이면 ㅡㅡ,offensive
엄기준을 최우수상이라도 줘야지 수지 이종석 참 ㅋㅋㅋ 인기상인가,offensive
이종석 수지 최우수상 욕하는사람 많은데 상받을만한 연기 충분히 했고. 엄기준 핵심상 못챙겨준거랑 서현진 안왔다고 배척한거 그게 흠이었다 스브스연기대상은,offensive
김연아가 마지막 올림픽 때 금메달 뺏긴 기분,offensive
떵수지 극혐,hate
피고인은 작품 잘되었다며 김민석도 상 안주고당.잠.사도 최우수 연기상 둘다 가져 가더니 정해인 암꺼도 안주고ㅋㅋㅋㅋ,offensive
난 솔직히 피고인은 노잼이었다.,offensive
지성 너무 멋져ㅜ,none
당잠사 누가뭐래도 재밌고 그때당시에 까는사람도 없었음 안본것들이 상받았다고 악플달고 발광하네,hate
수지 최우수상은 송승헌 대상과함께 연기대상 역대급 으로남을것이다,none
그래도 sbs 연기대상은 인정하지만KBS는 정말 상받는 사람 어처구니가 없더만,offensive
SBS: 이종석 > 엄기준 / ?????????,none
여 튼 인기가 상이다..연기 못 하는 이종석 mbc서 대상 주더니...올 해 또.. 엄기준이랑 지성이라 공동 수상이 마땅하지..,offensive
엄기준 거르고 수지 이종석 최우수상 ㅋㅋㅋㅋㅋ코미디냐,offensive
역대 연예인 이경규가짱아님? 친구가 자꾸 주병진이란사람이 짱이라는데 얼토당토앉네 첨들어봄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,offensive
"엄기준 월화, 이종석 수목. 수상부문이 다른데 엄기준 상 못탄걸 왜 이종석한테 화풀이지?",offensive
지성 이보영 부부참 예쁘다♥,none
신기한건 수지가 4년전엔가도 엠빙에서 최우수상을 수상했다는 겁니다....... 나문희 선생님 평생에 한번 받으셨다는 그 상을 수지는 벌써 지상파hate곳을 휩쓸었어요 신인상까지 패스하고 최우수 탄거로 아는데,offensive
시청률8프로 시청자가 외면한이유,offensive
엄기준 대상감이지!!수지는 넘오버다 이젠 sbs에서 대상줄듯,offensive
수지를 싫어하는건 아니다.그런데..연기는 별로...,offensive
최소 최우수상은 줬어야지 젊은이 한명 주느라 줄사람 안줬겠지. 연예대상도 황당하더니 연기대상도 이상하네. 그리고 지성아.옛날엔 몰라도 지금은 이보영보다 네가 훨씬 앞서니까 기좀펴.,offensive
얼쩍없는 sbs무슨 배수지가 최우수 엄기준 차민호 진짜 소름돋았는데 공동 대상줘도 하나도 안 이상했는데ㅠ,offensive
ㅇㅇ 수지랑 이종석은 그냥 받을만했다 다만 엄기준이 의외일 뿐이지 차민호 개쩔었는데 오히려 대상을 줬어도 뭐라 못할 연기였다,none
Kbs만 그나마 제대로 시상식했네,none
이종석은 다들 인정하고있어요 여기 몇몇악플러들이 그냥 염불하고 우겨댈뿐,offensive
수지씨가 우상도아닌 최우수상이라니~~~ 헐,offensive
월화수목 나눈거 극혐ㅋㅋ 어떻게든 끼워맞추려고 캐릭터상 집어 넣은것도 극혐 솔까 최우수상 받아간 누구가 한 연기 모든 여배우들이 다할수 있는 연기아니냐 매번 연기력 논란에 큰상을 몇번이나 받아먹는지 차라리 아역배우가 받은게 더 신뢰가 갈듯,hate
다른것보다 최우수상이 정말 별로였다!!! 이건 무슨 연기상이 연기력 보고 줘야 하는거 아닌가? 엄기준도 그렇고 군대간 사람들도 그렀고!!! 스브스 정신차려!!!!,offensive
말도 이쁘게 하시지 지성 씨는 ㅋㅋ,none
엄기준씨는 월화드라마부문 남궁민씨에게 밀린거예요 이종석은 수목드라마부문에서 최우수받은거구요 부문이 달라요 엄기준씨 악역연기 너무 인상깊었고 최고였습니다 그리고 이종석씨도 충분히 상받을만큼 잘했습니다,none
이제 SBS드라마 하지마요. 엄기준님~해도해도 너무한다.공동대상 줘야지.피고인 솔직히 지성님과 엄기준님의 신들린 연기아니였음..지루해서 안봤을것임..솔직히!!!엄기준님 볼려고 지금도 피고인 IPTV로 보는데엄기준님 MBC 드라마 출연중이라 복수한것이냐!올해의 캐릭터상 이라니..사람 놀리냐!!!!!!?난 이제 SBS드라마 안볼것임,none
이종석 정도면 최우수 받을만 하지않음? 수목극최우수인데 월화 다합친거에서 받으면 모르겠는데,none
"시청률도 사랑의온도가 당잠사보다 더 높은데, 왜 수지가 최우수상인지 논리적인 이유를 알고싶네요.공정성이라곤 offensive도 없는 망할 스브스",offensive
팩트 당신이 잠든 사이에는 언플 쳐해도 시청률 폭망이였는데 주연들은 다 최우수상 떡하니 받고 피고인은 언플별로 안해도 입소문으로 시청률 3none%인데 거기 조연들 상 다줘도 모자랄판에 이게 나라냐,offensive
스지 최우수상 받은거 보고 소트니코바 생각남내마음에 대상도 엄기준씨에요^^,none
수지뇬은 연기도못하는데 우수상타고 참,hate
내마음의 최우수상 서현진,none
그래도 지성 드디어 대상받아서 너무 좋았어요,none
엄기준이 최소 최우수상인데 수지가 최우수상이라니 참 이상하다 진짜,none
"sm대상조작.박정훈sbs사장 뒷거래로 연예대상조작,mbc최성훈 전현무대상조작 방통위쓰레기들은 sbs,mbc,sm조작조사해",hate
엄기준 빠들이 이종석 까는 거 아닌 거 같은 데? 딱 봐도 엄기준 방패 세워놓고 이종석 한테 쉐도우 복싱질 중인 지창욱 빠순이들이겠지 얘네 악질이던데 뭐. 아쉽다고 한 두마디 할 수 있어도 이렇게 까지 배우가 받은 상이 원래 엄기준 상이였다느니 헛소리 하는 거 보면 견적 나옴.,hate
엄기준 캐릭터상 이보영 수지 동급 최우수상ㅎㅎㅎ대~~~~~단하다! 스브스^^,none
수지같은 저급연기가 최우수상이 왠말이냐...허허..,hate
